16015.17790,120253.79448,1136.47674, 240.73153,8632.74446,   0.00000
15218.33789,113367.75317,1123.41378, 240.73153,7931.07738,   0.00000
13376.46181,100804.92660,1110.35083, 207.14108,7406.69321,   0.00000
11782.78179,89753.67007,1031.97313, 207.14108,6872.97835,   0.00000
10515.67554,80012.44091, 914.40657, 207.14108,6357.92486,   0.00000
9353.07290,69800.94551, 849.09181, 173.55063,5824.21000,   0.00000
8477.85519,62646.18064, 836.02886, 173.55063,5318.48719,   0.00000
7393.63026,55189.10177, 783.77706, 173.55063,4934.06320,   0.00000
6400.84598,50016.17318, 744.58821, 173.55063,4409.67902,   0.00000
5447.25056,44776.06370, 705.39935, 173.55063,3976.73551,   0.00000
4637.34760,38864.14531, 627.02165, 173.55063,3577.38243,   0.00000
3958.07415,34497.38741, 587.83279, 173.55063,3211.61981,   0.00000
3304.92660,30298.58174, 561.70689, 173.55063,2970.88828,   0.00000
2730.15676,25562.32894, 535.58099, 173.55063,2677.90495,   0.00000
2272.95347,21665.83727, 561.70689, 231.40085,2586.46429,   0.00000
1907.19084,18172.43095, 600.89575, 231.40085,2056.48171,   0.00000
1397.73576,15552.37621, 640.08460, 264.99129,1825.08087,   0.00000
1214.85444,13100.27370, 718.46230, 207.14108,1724.30953,   0.00000
1110.35083,11454.34188, 849.09181, 149.29087,1575.01866,   0.00000
 992.78427,9842.00050, 940.53247, 182.88131,1690.71908,   0.00000
 849.09181,7658.62155,1162.60264, 375.09331,1858.67131, 466.53396
 718.46230,6953.22219,1345.48395, 475.86464,1993.03309, 466.53396
 613.95870,6214.23240,1711.24658, 903.20975,2362.52799, 466.53396
 640.08460,5844.73750,2220.70167,1119.68151,2506.22045, 466.53396
 574.76984,4601.89102,3252.67479,1690.71908,3439.28838, 466.53396
 613.95870,3930.08211,3814.38169,2218.83553,3890.89326,   0.00000
 587.83279,4131.62478,4428.34038,2871.98308,4260.38816,   0.00000
 496.39214,3526.99677,5499.50236,3207.88753,4413.41130,   0.00000
 613.95870,3123.91142,7027.86763,4504.85195,5182.25927, 466.53396
 770.71411,3056.73053,8099.02961,4990.04728,5421.12466, 466.53396
 953.59542,3224.68276,9483.70241,6018.28813,6285.14556,1399.60189
1293.23215,3359.04454,10724.68276,7537.32272,7380.56731, 933.06793
1685.12068,3694.94899,12801.69196,8776.43692,9177.65613, 933.06793
2286.01642,4299.57701,13624.65788,9300.82110,9748.69370, 933.06793
2521.14954,5038.56681,14891.76412,9896.11844,10603.38393,1399.60189
2612.59020,5710.37572,15649.41528,10582.85643,10756.40707,2332.66982
3122.04528,6348.59418,16354.81463,11866.75790,12154.14282,2332.66982
3317.98955,6818.86041,16655.26250,11909.67902,12630.00746,1399.60189
3827.44464,7154.76487,17034.08808,12370.61458,13716.09853,1866.13585
3879.69644,7289.12665,17216.96940,12322.09505,13926.97188,2799.20378
4676.53645,8364.02090,17203.90644,12818.48719,15108.23588,6998.00946
5408.06171,9741.22916,17034.08808,12559.09430,14766.73302,6064.94153
6466.16074,11152.02787,16877.33267,12693.45608,15330.30605,6064.94153
7145.43419,12226.92212,16459.31824,12232.52053,15192.21199,6064.94153
